id_medicamento,ium,principio_activo,nombre_comercial,forma_farmaceutica,concentracion,unidad_medida,presentacion_comercial,es_combinado
149,1A1030081000100,ANFOTERICINA B LIPOSOMAL,AMBILIP,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,2.5,MG/ML,VIALES,0
150,1A1030491000101,ALERGENO FELIS DOMESTICUS,NO REPORTADO,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,5000,UB/ML,ESTUCHE X 1 VIAL X 5 ML,0
151,1A1031061000100,ANFOTERICINA B LIPOSOMAL,FUNGISOME,SUSPENSION INYECTABLE,1,MG/ML,VIALES X 50ML,0
152,1A1032011000101,EXTRACTOS ALERGENICOS TRATAMIENTO SUBCUTANEO DEPIGOID DERMPTER 100%,DEPIGOID,SUSPENSION INYECTABLE,100,DDP/ML,ESTUCHES X 2 VIALES,0
153,1A1032311001100,AMFOTERICINA B,THERIZYN VP,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,50,MG,CAJA X 1 VIAL,0
154,1A1032991001100,N-ACETILCISTEINA,NO REPORTADO,SOLUCION INYECTABLE,100,MG/ML,CAJA X 5 AMPOLLAS DE 3 ML,0
155,1A1034711001100,APREMILAST,APXENTA,TABLETA,30,MG,CAJA X 100 TABLETAS,0
156,1A1036741000100,L-ASPARAGINASA E COLI,ONCONASE 10,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,2000,UI/ML,CAJAS X UN (1) VIAL X 5 ML,0
157,1A1038561000100,ALCOHOL ETILICO,ALCSOLUT,SOLUCION INYECTABLE,792,MG/ML,CAJA X 5 AMPOLLAS DE 5 ML,0
158,1A1038841000101,ALERGENO GRUPO CUCARACHA (100%),RETARD EH,SUSPENSION INYECTABLE,500,MCG/ML,"ESTUCHE X 2 VIALES X 3,5 ML",0
159,1A1038861000100,EXTRACTOS ALERGENICOS TRATAMIENTO SUBCUTANEO DEPIGOID CHORTOGLYPHUS ARCUAT 100%,DEPIGOID,SUSPENSION INYECTABLE,100,DDP/ML,ESTUCHES X 2 VIALES,0
160,1A1038871000100,ACARUS SIRO 100%,DEPIGOID,SUSPENSION INYECTABLE,100,DDP/ML,ESTUCHES X 2 VIALES,0
161,1A1039361000100,ACARBOSA,NO REPORTADO,TABLETA,50,MG,FRASCO X 100 TABLETAS,0
162,1A1039611000100,ALERGENO PARAFENILENODIAMINA,ALLERGEAZE,CREMA,100,MG/ML,JERINGA X 5ML,0
163,1A1039761000100,ALERGENO FELIS DOMESTICUS 100%,DIATER,SOLUCION INYECTABLE,0.33,HEP/ML,"VIALES POR 4,5 ML",0
164,1A1039771000100,ALERGENO CANIS FAMILIARIS 100%,DIATER,SOLUCION INYECTABLE,0.33,HEP/ML,"VIALES POR 4,5 ML",0
165,1A1039791000100,ARIPIPRAZOL,ABILIFY MAINTENA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,300,MG,CAJA X 1 VIAL,0
166,1A1041471000101,ALTERNARIA ALTERNATA,PRICK TEST,SOLUCION CUTANEA,4,MCG/ML,"FRASCOS X 2,5 ML",0
167,1A1041871000100,PBRONQ/NAS-GRUPO GRAMINEAS,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,30,HEP/ML,FRASCOS,0
168,1A1041871000101,ALERGENO GRUPO GRAMINEAS,PRUEBA DE PROVOCACION BN,POLVO PARA RECONSTITUIR A SOLUCION NASAL,30,HEP/ML,ESTUCHE X UN FRASCO X 5 ML,0
169,1A1042201000100,PBRONQ/NAS-BLOMIA TROP.,PRUEBA DE PROVOCACION BN,POLVO LIOFILIZADO,100,HEP/ML,FRASCOS,0
