id_diagnostico,codigo_cie10,diagnostico,capitulo_cie10,tiene_diagnostico
157,NO REPORTADO,TRATAMIENTO DE LA HIPOTENSION REFRACTARIA A CATECOLAMINAS ASOCIADA A UN SHOCK SEPTICO EN PACIENES MAYORES DE 18 ANOS,Enfermedades del sistema genitourinario,1
158,G409,"EPILEPSIA, TIPO NO ESPECIFICADO",Enfermedades del sistema nervioso,1
159,NO REPORTADO,"ENFERMEDAD RENAL CRONICA, ESTADIO 3",Enfermedades del sistema genitourinario,1
160,N045,SINDROME NEFROTICO: GLOMERULONEFRITIS MESANGIOCAPILAR DIFUSA,Enfermedades del sistema genitourinario,1
161,D420,TUMOR DE COMPORTAMIENTO INCIERTO O DESCONOCIDO DE LAS MENINGES CEREBRALES,Neoplasias benignas / Enf. de la sangre,1
162,J459,"ASMA, NO ESPECIFICADA",Enfermedades del sistema respiratorio,1
163,NO REPORTADO,ANESTESIA,Enfermedades del sistema genitourinario,1
164,C495,TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA PELVIS,Neoplasias malignas (oncológico),1
165,C749,"TUMOR MALIGNO DE LA GLANDULA SUPRARRENAL, PARTE NO ESPECIFICADA",Neoplasias malignas (oncológico),1
166,G803,PARALISIS CEREBRAL DISCINETICA,Enfermedades del sistema nervioso,1
167,E802,PORFIRIA INTERMITENTE AGUDA,"Enf. endocrinas, nutricionales y metabólicas",1
168,E274,OTRAS INSUFICIENCIAS CORTICOSUPRARRENALES Y LAS NO ESPECIFICADAS,"Enf. endocrinas, nutricionales y metabólicas",1
169,H472,NEUROPATIA OPTICA DE LEBER,Enfermedades del ojo y del oído,1
170,I461,"MUERTE CARDIACA SUBITA, ASI DESCRITA",Enfermedades del sistema circulatorio,1
171,Q810,EPIDERMOLISIS BULLOSA SIMPLE,Malformaciones congénitas,1
172,NO REPORTADO,LINFOMA DE CELULAS T ANGIOINMUNOBLASTICA,Enfermedades del sistema genitourinario,1
173,L440,PITIRIASIS RUBRA PILARIS,Enfermedades de la piel,1
174,T883,HIPERTERMIA MALIGNA DEBIDA A ANESTESIA,Traumatismos y envenenamientos,1
175,NO REPORTADO,LINFOMA FOLICULAR GRADO IIIA,Enfermedades del sistema genitourinario,1
176,D696,TROMBOCITOPENIA NO ESPECIFICADA,Neoplasias benignas / Enf. de la sangre,1
177,C902,"PLASMOCITOMA, EXTRAMEDULAR",Neoplasias malignas (oncológico),1
178,C490,"TUMOR MALIGNO DEL TEJIDO CONJUNTIVO Y TEJIDO BLANDO DE LA CABEZA, CARA Y CUELLO",Neoplasias malignas (oncológico),1
179,E835,TRASTORNOS DEL METABOLISMO DEL CALCIO,"Enf. endocrinas, nutricionales y metabólicas",1
180,NO REPORTADO,CANCER COLORRECTAL CON MUTACION KRAS G12C,Enfermedades del sistema genitourinario,1
181,I10Z,POLIQUISTOSIS RENAL AUTOSOMICA DOMINANTE,Enfermedades del sistema circulatorio,1
182,L123,EPIDERMOLISIS BULLOSA ADQUIRIDA,Enfermedades de la piel,1
183,C349,ADENOCARCINOMA MODERADO DIFERENCIADO DE PRIMARIO EN PULMON AVANZADO,Neoplasias malignas (oncológico),1
